月份,模块,曝光UV(udid),支付转化率,UV(udid)价值,引导成交业绩
202503,个人中心推荐,7941454,0.005623655315512751,0.2537321754933039,2015002.4
202503,全站,24086350,0.19063751876062582,16.748831028777712,4.0341820625E8
202503,分类页主商品,6257112,0.29056551968384137,14.145768651735816,8.851165878E7
202503,分类页购后推荐,2568958,0.014011128247328294,0.4960532636714964,1274340.0001349999
202503,券适用商品列表页,0,0.0,0.0,1.02285078E7
202503,单列瀑布页,768461,0.14214124073960813,2.665181902529862,2048088.35
202503,商详售空品相似推荐,435310,0.016666283797753326,0.57061548879649,248394.6284280001
202503,商详推荐,8823553,0.03801949169455887,1.0572881649829724,9329038.16
202503,推荐加权,0,0.016989667309934894,0.3903987582891435,0.0
202503,搜索准备页榜单,10580353,0.0010495869088677854,0.027009874812305414,285774.01
202503,搜索少结果推荐,5759971,0.06207305557614787,1.5002191599863963,8641218.855166003
202503,搜索无结果推荐,555591,0.06119969545942969,1.6416653877366625,912094.514438
202503,搜索结果,11030776,0.32139887529218253,19.01654714409938,2.0976727184E8
202503,搜索购后推荐,4972256,0.004729643847782576,0.0549419056460488,273185.22
202503,支付完成页推荐,3211384,0.0016815179997160103,0.05538120011154069,177850.29993899996
202503,爆款专区落地页,895324,0.13205722174319018,3.2318560990211362,2893558.33
202503,相似推荐页,135556,0.084083330874325,2.47628458393579,335675.23305999994
202503,结算页顺手买,5624984,0.011341365593217688,0.09558396432772076,537658.27
202503,评价完成页推荐,101821,0.0027597450427711374,0.07176687709804459,7307.375192999998
202503,购物车底部推荐,6315278,0.04684291016167459,0.9050115466017489,5715399.51
202503,首页feeds,4773691,0.06816737824044329,1.328773043889729,6343151.920659005
202503,首页爆款专区,15260613,0.0035649944074985715,0.06624562329180356,1010948.82
202503,首页购后推荐,682344,0.0069202630931026,0.06190833362644062,42242.78
202503,首页阅后推荐,1172521,0.004213144156906358,0.06876670012733248,80630.4
202504,个人中心推荐,7612860,0.004666314630769513,0.23382588935038867,1780083.76
202504,全站,22808751,0.19749669764907338,16.71879046950006,3.8133472884E8
202504,分类页主商品,6000041,0.2968246383649712,13.361402618748773,8.016896353E7
202504,分类页购后推荐,2514141,0.014194112422493408,0.43907782801680567,1103903.5696079999
202504,券适用商品列表页,0,0.0,0.0,1.029191106E7
202504,单列瀑布页,755829,0.15612790723827744,2.918747838466108,2206074.26
202504,商详售空品相似推荐,390049,0.016590223279639226,0.3789754729226329,147819.00423800005
202504,商详推荐,8402291,0.0340959388338252,0.8865674659447049,7449197.84
202504,推荐加权,0,0.017801815839980747,0.3792799905386822,0.0
202504,搜索准备页榜单,10155178,0.0011390248403326854,0.028739385956602633,291853.58
202504,搜索少结果推荐,5335890,0.05897835225238901,1.2153704013770903,6485082.771004003
202504,搜索无结果推荐,517196,0.0664602974500963,1.722159801682534,890694.1607909999
202504,搜索结果,10454823,0.33175788820145496,19.185519379907245,2.0058120928E8
202504,搜索购后推荐,4800878,0.004740382904960301,0.05214529925567781,250343.22
202504,支付完成页推荐,3128595,0.0019366520754523996,0.06786001521225982,212306.50429299998
202504,爆款专区落地页,818345,0.14163464064667103,3.3594823821248987,2749215.61
202504,相似推荐页,114142,0.08409700197998984,1.672938001997513,190952.48942400012
202504,结算页顺手买,5515133,0.011919204849638258,0.09670775301339062,533356.12
202504,评价完成页推荐,104836,0.002928383379755046,0.06905963306497769,7239.935692
202504,购物车底部推荐,5862791,0.04935618547548429,0.9279573124813761,5440419.78
202504,首页feeds,4581198,0.0765251796582466,1.5104932395056934,6919868.607837004
202504,首页爆款专区,14573093,0.0036431524865723425,0.06653502863119037,969621.16
202504,首页购后推荐,742808,0.007319522676115497,0.062489768553919724,46417.9
202504,首页阅后推荐,1181160,0.005485285651393545,0.08007316536286363,94579.22
202505,个人中心推荐,7870970,0.004182076669076365,0.19791691748285153,1557798.12
